Help!,बचाओ!
Where is the book?,वह किताब कहाँ है?
Where's the beach?,समुद्र तट कहां है?
Who made this pie?,यह पाय किसने बनाई है?
Yes. That's right.,हाँ। यह सही है।
Are you busy today?,तुम आज बिज़ी हो क्या?
Are you busy today?,तुम्हारे पास आज समय है क्या?
Can we have a talk?,हम बात कर सकते हैं क्या?
Did you sleep well?,तुम अच्छे से सोये क्या?
Do you remember me?,तुम्हें मैं याद हूँ क्या?
Don't throw stones.,पत्थर मत फेंको।
Everyone likes her.,उसे सब पसंद करते हैं।
Everyone likes him.,उसे सब पसंद करते हैं।
Have you gone nuts?,तेरी अकल घास चरने गई है क्या?
He breathed deeply.,उसने गहरी साँस ली।
He cried and cried.,वह रोया और और रोया।
He is a simple man.,वह साधा आदमी है।
He isn't my cousin.,वह मेरा चचेरा भाई नहीं है।
He waited his turn.,उसने अपनी बारी का इंतेज़ार किया।
He works at a bank.,वह बैंक में काम करता है।
He's a good person.,वह अच्छा इनसान है।
I admit my mistake.,मैं अपनी ग़लती मानता हूँ।
I can read English.,मैं अंग्रेज़ी पढ़ सकता हूँ।
I can read English.,मैं अंग्रेज़ी पढ़ सकती हूँ।
I can't believe it!,मुझे विश्वास नहीं होता!
I know her address.,मुझे उसका पता पता है।
I know those women.,मैं उन औरतों को जानता हूँ।
I know your father.,मैं तुम्हारे पिताजी को जानता हूँ।
I sort of like him.,मुझे वह अच्छा सा लगता है।
I still don't know.,मुझे अभी भी नहीं पता।
I was born in 1979.,मैं १९७९ में पैदा हुआ था।
I watch television.,मैं टीवी देखता हूँ।
I'll see you later.,बाद में मिलेंगे।
I'll see you later.,फिर मिलेंगे।
I'm as tall as you.,मैं तुम्हारे जितना लम्बा हूँ।
Is this book yours?,क्या यह किताब तुम्हारी है?
It is already dark.,अभी से रात हो गई है।
It looks like snow.,बरफ़ जैसा दिखता है।
It started to snow.,बरफ़ गिरनी शुरू गो गई।
It was sort of fun.,वो मजेदार था I
It's too expensive.,बहुत महंगा है!
It's too expensive.,बहुत महंगी है!
It's very hot here.,यहाँ बहुत गरम है।
Let me handle this.,यह मुझे संभालने दो।
Let's take a train.,रेलगाड़ी से चलते हैं।
No one can help me.,कोई मेरी मदद नहीं कर सकता।
She is very pretty.,वह बहुत सुंदर है।
She leaped for joy.,वह खुशी से उछल पड़ी।
She smiled happily.,उसने खुशी से मुस्कुराया।
She's not a doctor.,वह डॉक्टर नहीं है।
That guy annoys me.,मुझे उस आदमी से चिढ़ आती है।
The batter was out.,बॅटर आऊट हो गया था।
The crow flew away.,कौआ उड़ गया।
This is Mary's dog.,यह मेरी का कुत्ता है।
We enjoyed skating.,हमे स्केटिंग करके मज़ा आया।
We're good friends.,हम अच्छे दोस्त हैं।
What a big pumpkin!,कितना बड़ा कद्दू है!
What's the problem?,मुश्किल क्या है?
When does it begin?,शुरू कब होता है?
Who made this cake?,यह केक किसने बनाया है?
Who's at the wheel?,गाड़ी कौन चला रहा है?
Whose book is this?,यह किसकी किताब है?
Answer my questions.,मेरे सवालों का जवाब दो।
Are they in the gym?,वे जिमखाने में हैं क्या?
Can you drive a car?,तुम्हें गाड़ी चलाना आता है क्या?
Can you drive a car?,तुम गाड़ी चला सकते हो क्या?
Everybody likes him.,उसे सब पसंद करते हैं।
"Excuse me, I'm lost.","माफ़ कीजिएगा, मैं खो गई हूँ।"
He called me a taxi.,उसने मेरे लिए टेक्सी बुलवाई।
He felt very lonely.,उसे बहुत अकेलापन महसूस हुआ।
He seems to be rich.,वह दिखने में बहुत अमीर लगता है।
He'll get well soon.,वह जल्द ही ठीक हो जाएगा।
He's in a bad state.,उसकी हालत बुरी है।
How did you make it?,तुमने कैसे बनाया?
I am not from India.,मैं भारत से नहीं हूँ।
I am reading a book.,मैं किताब पढ़ रही हूँ।
I bought an old car.,मैंने पुरानी गाड़ी खरीदी।
I continued singing.,मैं गाता चला गया।
I do not understand.,मैं समझा नहीं।
I hate taking risks.,मुझे जोखिम लेना पसंद नहीं है।
I haven't eaten yet.,मैंने अभी तक नहीं खाया है।
I know both of them.,मैं दोनो को जानता था।
I know what that is.,मुझे पता है कि वह चीज़ क्या है।
I want to marry her.,मैं उससे शादी करना चाहता हूँ।
I wanted her to win.,मैं चाहता था कि वह जीत जाए।
I'd like a city map.,मुझे शहर का नक्शा चाहिए।
I'd like to see her.,मैं उसे देखना चाहूँगा।
I'd like to see her.,मैं उससे मिलना चाहूँगा।
I'll be back at ten.,मैं दस बजे वापस आऊँगा।
I'll bring the wine.,मैं शराब लाता हूँ।
I'll bring the wine.,मैं शराब लाऊँगा।
I'll make you happy.,मैं तुम्हें खुश करूँगा।
I've already called.,मैंने फ़ोन कर लिया है।
Let's play baseball!,चलो बेसबॉल खेलतें हैं।
My money was stolen.,मेरे पैसे चोरी हो गए।
My sister has a job.,मेरी बहन के पास नौकरी है।
She kept on working.,वह काम करती रही।
She pulled my shirt.,उसने मेरी कमीज़ खींची।
That is not a tiger.,वह बाघ नहीं है।
That was my mistake.,वह मेरी ग़लती थी।
The skies are clear.,आसमान साफ़ है।
The trees are green.,पेड़ हरे हैं।
This is what I need.,यह वही चीज़ है जिसकी मुझे ज़रूरत है।
Watch your language.,ज़बान सम्भाल के बात करो।
We are good friends.,हम अच्छे दोस्त हैं।
We must pay the tax.,हमें टैक्स भरना पड़ेगा।
What did you answer?,तुमने क्या जवाब दिया?
What is in this box?,इस डब्बे में क्या है?
What were you doing?,तुम क्या कर रहे थे?
Where are you going?,तुम कहाँ जा रहे हो?
Where are you going?,आप कहाँ जा रहे हैं?
Where's the airport?,हवाई अड्डा कहाँ पर है?
Which book is yours?,तुम्हारी किताब कौनसी है?
Who is your teacher?,तुम्हारे टीचर कौन हैं?
Will you go with us?,तुम हमारे साथ आओगे क्या?
Winter is coming on.,सर्दी आ रही है।
You are at it again.,तुम फिरसे चालू हो गए।
You must forgive me.,तुम्हे मुझे माफ़ करना होगा।
You must study hard.,तुम्हें मन लगाकर पढ़ना होगा।
You're a life saver.,तुमने मेरी जान बचाली।
Didn't I tell you so?,मैंने तुम्हें बताया नहीं था?
Do you have a pencil?,तुम्हारे पास पेनसिल है क्या?
Don't open your book.,अपनी किताब मत खोलो।
Don't worry about me.,मेरी चिंता मत करो।
Don't worry about us.,हमारी चिंता मत करो।
Fish live in the sea.,मछलियाँ समुंदर में रहतीं हैं।
Have you been abroad?,आप विदेश गए हुए हैं क्या?
He envied my success.,उसको मेरी कामयाबी से जलन थी।
He got angry with me.,वह मुझपर गुस्सा हो गया।
He has been to India.,वह भारत गया हुआ है।
He is angry with you.,वह तुमसे नाराज़ है।
He is in poor health.,उसकी हालत बुरी है।
He made up an excuse.,उसने कोई बहाना बना लिया।
He married for money.,उसने पैसों के लिए शादी की।
He saw a pretty girl.,उसने एक सुंदर लड़की को देखा।
He wanted to succeed.,वह कामयाब होना चाहता था।
How's your job going?,तुम्हारी नौकरी कैसी चल रही है?
I agree to this plan.,मैं इस योजना से सहमत हूँ।
I am a stranger here.,मुझे यहाँ पर अजनबी के जैसा महसूस होता है।
I am eating an apple.,मैं सेव खा रहा हूँ ।
I am eating an apple.,मैं सेव खा रही हूँ ।
I expect him to come.,मुझे लगता है वह आएगा।
I feel like vomiting.,मुझे उल्टी आ रही है।
I have a few friends.,मेरे पास कुछ दोस्त हैं।
I have back problems.,मुझे पीठ की तकलीफ है I
I have caught a cold.,मुझे ज़ुकाम हो गया है।
I just cut my finger.,मैंने अपनी ऊँगली काट ली।
I know why he did it.,मुझे पता है उसने क्यों किया था।
I live in a big city.,मैं बड़े शहर में रहता हूँ।
I lost consciousness.,मैं बेहोशी में चला गया।
I lost consciousness.,मैं बेहोश हो गया।
I meant it as a joke.,मैंने तो मज़ाक के तौर पर कहा था।
I met Mary yesterday.,मैं कल मेरी से मिला था।
I think you're right.,मेरे ख़याल से तुम सही हो।
I will come with you.,मैं तुम्हारे साथ आऊँगा।
I'll admit I'm wrong.,मैं मानता हूँ कि मैं ग़लत था।
I'll never come back.,मैं कभी वापस नहीं आऊँगा।
I'm allergic to fish.,मुझे मछली से एलर्जी है।
I've made a decision.,मैं फ़ैसला कर चुका हूँ।
Is he reading a book?,वह किताब पढ़ रहा है क्या?
Is it open on Sunday?,रविवार को खुला होता है क्या?
Is the phone ringing?,फ़ोन बज रहा है क्या?
It is already eleven.,ग्यारह बज चुके हैं।
It's an easy victory.,यह जीत तो बहुत आसान थी।
Lincoln died in 1865.,लिंकन की मौत १८६५ में हुई थी।
Please do it quickly.,जल्दी कीजिए।
Please shut the door.,दरवाज़े को बंद कर दीजिए।
She wore a red dress.,उसने लाल रंग के कपड़े पहने थे।
She wore a red dress.,उसने लाल ड्रेस पहनी थी।
That's his specialty.,वह उसकी ख़ासियत है।
The house is haunted.,इस घर में भूत है।
The man looked at me.,उस आदमी ने मेरी ओर देखा।
The sheets feel damp.,चादरें गीलीं लगतीं हैं।
The water pipe burst.,पानी का पाइप फट गया।
These books are mine.,ये किताबें मेरीं हैं।
These shoes are hers.,यह जूते उसके हैं।
They went to the zoo.,वे ज़ू गए थे।
This feels like silk.,यह रेशम जैसा लगता है।
Time goes by quickly.,समय तेज़ी से बीतता है।
What day is it today?,आज कौनसा वार है?
What does it contain?,इसमें क्या है?
When will you return?,तुम कब लौट कर आओगे?
Where is the problem?,मुश्किल कहाँ है?
Where is your father?,तुम्हारे पिता कहाँ हैं?
Will you go by train?,तुम रेलगाड़ी से जाओगे क्या?
You can't prove that.,तुम वह साबित नहीं कर सकते।
Your dog is very big.,तुम्हारा कुत्ता बहुत बड़ा है।
Your dog is very fat.,तुम्हारा कुत्ता बहुत मोटा है।
Can I use your pencil?,मैं तुम्हारी पेनसिल इस्तेमाल कर सकता हूँ क्या?
Can the rumor be true?,क्या यह अफ़वाह सच हो सकती है?
Can you keep a secret?,तुम राज़ रख सकते हो क्या?
Did you see my camera?,तुमने मेरा कैमरा देखा क्या?
Do you believe in God?,क्या तुम भगवान में विश्वास करते हो?
Do you know your size?,क्या आपको अपना नाप पता है?
Do you like this book?,क्या तुम्हें यह किताब पसंद है ?
Does he speak English?,वह अंग्रेज़ी बोलता है क्या?
Don't be disappointed.,निराश मत हो।
Fat hens lay few eggs.,मोटी मुर्गियाँ कम अंडे देतीं हैं।
Has the bell rung yet?,घंटी बज चुकी है क्या?
He accepted our offer.,उसने हमारा प्रस्ताव स्वीकार कर लिया।
He became a policeman.,वह पुलिस अफ़सर बन गया।
He became a policeman.,वह पुलिसवाला बन गया।
He climbed the stairs.,वह सीड़ियों पर चढ़ गया।
He deals in furniture.,वो फ़र्निचर का व्यापार करता है।
He is a sharp-shooter.,उसका निशाना बहुत अच्छा है।
"He is poor, but happy.","वह गरीब है, पर खुश है।"
He knows us very well.,वह हमको अच्छी तरह से जानता है।
He looks like a horse.,वह दिखने में घोड़े की तरह लगता है।
He must be over sixty.,वे कम-से-कम साठ बरस के तो होंगे।
He sang while working.,उसने गाते गाते काम किया।
He was my dear friend.,वह मेरा अच्छा दोस्त था।
He was sick last week.,वह पिछले हफ़्ते बीमार था।
He won the race again.,उसने प्रतियोगिता फिरसे जीत ली।
He writes beautifully.,वह सुंदर लिखता है।
I am poor at swimming.,मुझे ढंग से तैरना नहीं आता।
I am tired of my work.,मैं अपने काम से थक चुका हूँ।
I dove into the river.,मैंने नदी में छलाँग लगाकर डुबकी ली।
"I live in Boston, too.",मैं भी बॉस्टन में ही रहता हूँ।
I made him my servant.,मैंने उसे अपना नौकर बना लिया।
I never liked biology.,मुझे जीव विज्ञान कभी भी पसंद नहीं था।
I ran away in a hurry.,मैं हड़बड़ी में दौड़ गया।
I want to visit Korea.,मैं कोरिया जाना चाहता हूँ।
I'm too tired to walk.,मैं इतना थक गया हूँ कि मुझसे और चला नहीं जाएगा।
I've made my decision.,मैं फ़ैसला कर चुका हूँ।
Is Mary your daughter?,क्या मैरी तुम्हारी बेटी है?
Is your watch correct?,तुम्हारी घड़ी सही है क्या?
It will snow tomorrow.,कल बरफ़ पड़ेगी।
Let's start the party.,पार्टी शुरू करते हैं।
Make yourself at home.,इसको अपना घर ही समझो।
My car is not running.,मेरी गाड़ी चल नहीं रही है।
My eye has swollen up.,मेरी आँख सूज गई है।
Not all birds can fly.,सारे पंछी उड़ नहीं सकते।
Please close the door.,दरवाज़े को बंद कर दीजिए।
Please leave me alone.,मुझे अकेला छोड़ दीजिए।
Please throw the ball.,गेंद फेंकिए।
Put it where you like.,जहाँ भी डालना है डालदो।
Put it where you like.,जहाँ भी रखना है रखदो।
Put it where you like.,जहाँ भी घुसाना है घुसा दो।
She always works hard.,वह हमेशा मन लगाकर काम करती है।
She asked me for help.,उसने मुझसे मदद मांगी।
She got me a tiny toy.,वह मेरे लिए एक नन्हा सा खिलौना खरीद लाई।
She hated her husband.,वह अपने पति से नफ़रत करती थी।
She is five years old.,वह पाँच साल की है।
She lived a long life.,उसने लम्बी ज़िन्दगी जी।
She's a stubborn girl.,वह एक ज़िद्दी लड़की है।
Sit wherever you like.,कहीं भी बैठ जाओ।
The lake is deep here.,झील यहाँ पर बहुत गहरी है।
The man lost all hope.,उस आदमी ने सारी उम्मीद छोड़दी।
The station is nearby.,स्टेशन पास में है।
They hated each other.,वे एक-दूसरे से नफ़रत करते थे।
They made fun of Mary.,उन्होंने मेरी का मज़ाक उड़ाया।
They missed the train.,उनकी ट्रेन छूट गई।
They shouted for help.,उन्होंने मदद के लिए चिल्लाया।
They shouted for help.,उन्होंने मदद के लिए आवाज़ लगाई।
"This is an apple, too.",यह भी सेव है।
We accepted his offer.,हमने उसके प्रस्ताव को स्वीकार कर लिया।
We are disturbing him.,हम उनको परेशान कर रहें हैं।
We rested for a while.,हमने थोड़ी देर आराम किया।
"Well, I must be going.",मुझे चलना चाहिए।
What is this nonsense?,यह क्या बकवास है?
What're you two doing?,तुम दोनो क्या कर रहे हो?
What're you two doing?,तुम दोनो क्या कर रहे थे?
Where is the elevator?,लिफ़्ट कहाँ पर है?
Whose books are these?,ये क्या किताबें हैं?
Will he come tomorrow?,वह कल आएगा क्या?
Will he come tomorrow?,वे कल आएँगे क्या?
You didn't understand.,तुम समझे नहीं।
You reap what you sow.,"जैसा बोओगे, वैसा काटोगे।"
You reap what you sow.,"अच्छा करो, अच्छा पाओ।"
You reap what you sow.,कर भला तो हो भला।
You reap what you sow.,जैसा करना वैसा भरना।
Your hair is too long.,तुम्हारे बाल कुछ ज़्यादा ही लम्बे हैं।
"Who is it? ""It's me.""","कौन है? ""मैं हूँ"""
A fox is a wild animal.,लोमड़ी जंगली जानवर होती है।
A rabbit has long ears.,खरगोश के कान लम्बे होते हैं।
Can anyone believe you?,क्या कोई तुम्हारा यकीन कर सकता है?
Did you read it at all?,तुमने पूरा पढ़ लिया क्या?
Do you like this color?,यह रंग पसंद है क्या?
Don't ask me for money.,मुझसे पैसे मत माँगो।
Don't lose your temper.,नाराज़ मत हो जाओ।
Don't make fun of them.,उनका मज़ाक मत उड़ाओ।
Don't say such a thing.,ऐसी बात मत बोलो।
Don't start doing that.,वह काम शुरु मत करो।
Everyone knew the song.,वह गाना सभी को पता था।
Fish live in the water.,मछलियाँ पानी में जीतीं हैं।
He can't run very fast.,वह ज़्यादा तेज़ नहीं भाग सकता।
He earns a good salary.,वह अच्छा कमा लेता है।
He learned how to swim.,उसने तैरना सीखा।
